,tweets,labels
1833,عمليتي في بعد العيد,Syria
1834,أن رسول الله قال إذا مات الإنسان انقطع عنه عمله إلا من ثلاثة إلا من صدقة جارية أو علم ينتفع به أو ولد صالح يدعو له صحيح مسلم,Egypt
1835,لو كانت هناك وسيلة لتطبيقها فسيتم تعميمها على وكالات الطيران اجباريا من قبل منظمات مثل مجلس سلامة النقل الوطني,Oman
1836,سبوح قدوس رب الملائكة والروح,Saudi_Arabia
1837,اللهم ارحم يدتي واغفر لها وأنظر إليها بعين لطفك وكرمك يا أرحم الراحمين,United_Arab_Emirates
1838,هي فاكره كل الدفعه زيها ولا ايه,Egypt
1839,ان شاء الله لاباس,Libya
1840,وقتها ذي الاجواء,Syria
1841,اظن لو حلفتلك ان الميموريز مبهدلاني مش هتصدقني,Egypt
1842,والله ان هدم الكعبة حجرا حجرا لهو حلم المجوس والسؤال متى يفيق شيعة العرب والليبرالية من سكرتهم وضعوا أيديهم بأيدي المخلصين,Saudi_Arabia
1843,من لا يشكر الناس لا يشكر الله باسمي واسم الوالد العزيز واخواني نشكر كل من شاركنا فرحنا ووقف بجانبنا طيلة فترة الزفاف وكل من ساعد في اتمامه على خير ما قصرتو جميعا وان شاء الله بنردلكم ياها فردا فردا بالأفراح والمسرات,Palestine
1844,جمهور الاتحاد النهاردة قالب المحطة وقناة السويس والشوارع اللى جنب استاد اسكندرية حاجة تفرح حسسونى ان ليسة فى كورة فى مصر عاش سيد البلد وجماهيره وجرين ماجيكو ابن اسكندرية,Egypt
1845,بلاکش کن بره,Yemen
1846,البرنامج انا جربته مجرد وافاي عادي يبحث علي الشبكات الموجودة فقظ تشهير للتطبيق فقط,Djibouti
1847,ربي لا تذرني فردا وانت خير الوارثين ربي انما اشكوا بثي وحزني الى الله واعلم من الله ما لا تعلمون ربي اني لما انزلت الي من خير فقير يرزق من يشاء وهو القوي المتين سيستجيب لاتنسوني من دعائكم,Jordan
1848,الشوق هالليله لاعن مجاديفي وهازمني,Saudi_Arabia
1849,إن الله وملائكته يصلون على النبي يا أيها الذين امنوا صلوا عليه وسلموا تسليما اللهم صل على نبينا محمد وعلى آله وصحبه وسلم تسليما كثيرا إلى يوم الدين,Yemen
1850,من أصحاب الرقص للتخلص من الضغوط,Saudi_Arabia
1851,مرة دخل راجل كبير أيده مفتوحة و عاوز شاش و قطنه و خلاص انا فضلت أقوله دى محتاجة مستشفى و لازم تتخيط و هو يقول مش مهم هتلم لوحدها و انا أقوله انت عارف دى ممكن تعمل التهابات و الجرح يتلوث و ماتلمش و اهوله فى الموقف و هو بيرد عليا ببساطة يا ابلة متقلقيش انا متعود على كده ده شغلى,Egypt
1852,اللهم انك الشافي المعافي,Egypt
1853,موريتانيا اتفاق بين شركة تازيازت ومناديب العمال موريتانيا عاجل موريتانيا اتفاق بين شركة تازيازت وم,Mauritania
1854,ليس تغني الحياة عن أي شيء كم يعيش الإنسان فيها ملولا كل قول من قولنا وفعال آيب للإله فابغ القبولا بقلمي,Syria
1855,دوعاى خيرمان بو بكةن,Iraq
1856,اللهم امين يا رب العالمين,Morocco
1857,سعاده وربي سعاده,United_Arab_Emirates
1858,احدنا اليوم اصبح فقيها وعالما جليلا ومحدثا وخطيبا حسب سرعة النت لديه فالشكر لمحركات البحث وغيرها,Syria
1859,ثق بأن الله لن ينسى دعاء كنت تلح به وسيستجيب ولو بعد حين,Palestine
1860,اللهم ردنا إليك ردا جميلا واجعلنا من عبادك الصالحين الشاكرين الذاكرين صباح الخير,Algeria
1861,عبالي اهديها هالكيك,Syria
1862,هدا المستوي امام الرائد فكيف امام الهلال ممكن تكون تاريخية في الدورالسعودي انا اتوقع للهلال ه,Saudi_Arabia
1863,تونس مذكرات ثورة تحت الطبع,Mauritania
1864,الأسلوب يأسر القلوب ويقلب ردات الفعل ومن الجميل لو عرفنا أن كلمة وليتلطف قد انتصف عندها القرآن,Algeria
1865,هزة قلبية تضرب يسار صدري كلما سمعت اسمك,Oman
1866,عليه الصلاة والسلام,Qatar
1867,اه نكون مرتاحين,Egypt
1868,بيكومان ئتوانين يه ك بناسن تو ده ست بي بكه,Iraq
1869,وابقي ابعتلي انا كمان,Egypt
1870,خلاص تطور البقرة يا احميده موضة قديمة الغراد والهاون توا عالميراج والرافال و وبس,Libya
1871,اني هم احبه بس صاير كئيب,Iraq
1872,مافيه داعي تشتت وتحاول تلاقي لها مخرج لأجل تطولها هو سؤال ورد غطاه سألتني جاوبتك واول رد لي لك كافي ووافي,Morocco
1873,سبحان الله الحمد لله لا إله إلا الله الله أكبر لا حول و لا قوة إلا بالله,Syria
1874,أفمن يم,Egypt
1875,انزلوا كلكم عشان أخويا وكل المعتقلين ميدان التحرير,Egypt
1876,أختلق معك أخوي حل القضيه السوريه خرج عن سيطرة بشار والمعارضه بل الحل بات عند أطراف أقليميه هي بيدها القرار,Oman
1877,اقرا القران الكريم وهات مشكله واحده بس بيسببها لاى شخص وانا اتحداك لو صدقت,Egypt
1878,المهم يلقاو سبة و خلاص,Algeria
1879,ت,Iraq
1880,حقاوصدقاوعدلاويقيناوايمانانشهدان لاالةالااللةوحدةاحدفردصمدلم يلدولم يولدولم يكن لةصاحبةاوولدولاشريك ولامثيل ولاندولاعوين ولاشبيةولاكفولةاحد وابد يحيي ويميت وهو حي لا يموت بيده الخير وهو على كل شيء قدير ونشهدان سيدنامحمد عبدةورسولةوان الجنةوالناروالبعث حق كلمةحق نحيابهاونموتامين,Saudi_Arabia
1881,امي تخاف علي من الحياه وانا اخاف الحياة دون امي,Saudi_Arabia
1882,هذه هي صفحة الناشط هادي العبد الله البديلة للصفحة الرسمية التي أغلقها فيس بوك ويشرف عليها هادي العبد الله وكل ما,Syria
1883,حمد محبوب من الجميع رائع داخل الملعب وخارجه شكرا يا قاسم اختيار موفق,Syria
1884,الله يرزئني مصاري عئد ما بتنئو عالعمارة انتي وجماعتك,Syria
1885,ه الا اذا ني غبيه,Iraq
1886,٪ ممكن تكون مراوغة واحدة في المبارتين عشان تعطينا احصائيات دقيقة اعطينا كم مراوغة كانت بعدين النسبة يعطيك العافية,Djibouti
1887,انا بوضح بس وجهة نظري,Egypt
1888,غبي احمد معلم الصومالي اذا قلنا سنه بدون دوري زعل وهو يقول قبل ولادتكم الاتحاد النصر الهلال الاهلي,Saudi_Arabia
1889,ماذا يفعل المرء حين يقع في حب نجمه ظهرت لليلتين ثم أختفت,Egypt
1890,الحمد لله رب العالمين على نعمه التي لا تعد ولا تحصى ولم يغفل عن رزق كل خلقه وهو الرزاق ذو القوة المتين,Oman
1891,بخير م دمت هنآ وم دمت ف گنف رب لست حزينة لگنني امر بفترة تأمل گئيبه تمر ك مر م قبلهآ,Morocco
1892,حاجه سهلة جدا جدا جدا اي حاجه تاذيك ومترتحش ابعد عنها وامشي عود نفسك متتعلقش بحاجه بتاذيك وبتصعب عليك حياتك الايد الي ممكن حد يمسكك منها ااقطعها وادهالو واضربو علي وشو ب الايد التانية الشخص الي مترتحلوش ابعد عنو بس دي الخلاصه,Egypt
1893,راه عند الطبيب يفوت على عينيه,Algeria
1894,إنا لله وإنا إليه راجعون أمنا أم هود إنتقلت إلى رحمة الله تغمدها الله بواسع رحمته انا لله وانا اليه راجعون,Oman
1895,طب والبنطلون طب القميص,Egypt
1896,مقدمة في الأدب العربي للدكتور عادل باناعمه حول المحاضرة منصت,Syria
1897,لقد حفظت كل أغانيك المفضله لكي أغنيها متظاهرا بعدم الإنتباه لأرى سعادتك حين تهتفين حتى أنت تعشق هذه الأغنيه ولكن كلا أنا فقط أحبك,Bahrain
1898,بس عموما بعد ايه,Egypt
1899,السبت التعيس جدا,Iraq
1900,المحبة في الله,Tunisia
1901,اللهم إجعلنا من الباكين فرحا٫ليس حزنا يا الله,United_Arab_Emirates
1902,ولادنا في الشارع والحق على المعلم ولما تدعوهم لاجتماع أولياء أمور بحضر اثنين أو ثلاثة مع المعلم,Jordan
1903,مش عندكم وبس حتى احنا كذا,Somalia
1904,بلا شك يا عسل بس نحب نمزح مع الغالين,Bahrain
1905,لا مش هو بس مش عارف مين والله,Egypt
1906,بس شرط يباتون,Morocco
1907,الباب دلوقتي بقي يفوت ديناصور مش جمل حقيقي مبقاش فارق معايا حد,Egypt
1908,حين تشعر ان المنافذ جميعها مغلقه سيصل اليك لطف الله من المنفذ المستحيل,Saudi_Arabia
1909,ئهزیزی گیان,Iraq
1910,جيبو شيء جديد ما مقاس نعال وطول قاصر الواحد طول نخله والعقل يابس,Oman
1911,سعيد هو الإنسان الذي يستطيع الاستمتاع بالأشياء الصغيرة والمباهج البسيطة والأحداث اليومية العادية,Iraq
1912,لا مقيد ولا مفكوك,Iraq
1913,اللهم صل وسلم وبارك على سيدنا محمد وعلى اله وصحبه أجمعين,Egypt
1914,أكبر الله أكبر الله أكبر لا إله إلا الله الله أكبر الله أكبر ولله الحمد اللهم صل وسلم على خير خلقك وآله وصحبه عدد خلقك ورضا نفسك وزنة عرشك ومداد كلماتك اللهم أعتق رقابنا ورقاب والدينا وجميع المسلمين من النار ياعزيز ياغفار غرد بالصلاه عليه لاجل شفاعته,Saudi_Arabia
1915,أحسن حاجة غيديروها مقابلة من هاد الحجم لازم تنقل على المباشر ماشي على راديو المرقة كنقصد راديو مارس عفوا,Morocco
1916,شكلنا كلنا نفس الحاله,United_Arab_Emirates
1917,من الارشيف السيد القائد مقتدى الصدر اعزه الله يغرد مهنئا بعيد المعلم في عيد المعلم نتذكر أناسا أفنوا أنفسهم في سبيل أن تشرق حياتنا بنور العلم والمعرفة فتحية حب واحترام للمعلم في ذكرى عيده,Iraq
1918,تسلم مشاري حفظك الله ورعاك,Iraq
1919,عارف أنا بعافر معاک ليه لاني مش عايزاک تبقی زيهم مش عايزاک تمشي عايزاک تفضل جنبي وتبقی أحسن من أي حد بتمنالک الخير اكتر من نفسي ياريت تفهم,Morocco
1920,بالنجاح يا بيق,Libya
1921,بن سالم وزارة التربية ليست إسرائيلية لتتحدثوا عن النصر وأم المعارك,Tunisia
1922,يسرنا أن نعلن لكم المظهر الجديد للورنيش البحري متوفر في تعليب مل و ل أختر ألوانك بعناية تتناسب مع ذوقك ومع المكان الذي اخترت اللون من,Tunisia
1923,أقام المعهد الإسلامي في جيبوتي محاضرات تثقيفية وشرعية للعاملين به في الموضوعات التالية صفة صلاة النبي صلى الله عليه وسلم تعليم قراءة سورة الفاتحة صفة الوضوء والاغتسال التحذير من الشرك في القبور أخلاقيات العامل المسلم,Djibouti
1924,موريتانيا زعيم مؤسسة المعارضة السابق يصرح بممتلكاته,Mauritania
1925,ه شيء مضحك,Iraq
1926,انا زيك من شهر تقريبا,Yemen
1927,يلا دلوقت و نكلم شروق تنزل,Egypt
1928,كرة القدم تمثيل أحسنلي أروح ألعب,Oman
1929,كانت أول سيارة تجتاز المطب عقب قص الشريط سيارة شرطة تحمل بعضا من شباب الأحياء المجاورة الذين يعاكسون طالبات مدرسة حينا الحربي,Libya
1930,يعجبني الي يطلع حيوان من البدايه ويختصر علينا الطريق,United_Arab_Emirates
1931,أم خلقوا من غير شيء أم هم الخالقون الطور,Egypt
1932,مهدرتش على الشرعية و غير الشرعية بصح هل لوكان كان القانون مليح للجزائر و يولي بالفائدة على لبلاد نقبلو بيه رغم لي وضعو غير ش عي او لا,Algeria
1933,غريب امركم انتو الميقاتية ما تدخلوا بموضوع سوريا انتو جماعة النأي بالنفس ولا نسيتوا,Lebanon
1934,من احسن وأنظف محلات الفطائر في القيروان,Tunisia
1935,الله لايعيشني على منة احد لابشعور ولابعطاء,Jordan
1936,مؤلم عندما تسمع وفاة زميل لك شاركك ابتسامة دراسة الثانوية في حادث سير و قد مر أسبوع على زفافه لله ما أخذ ولله ما أعطى رحمك الله يا داؤود,Oman
1937,يسعد صباحك سمر,Libya
1938,طب منا اسأل امك افجر,Egypt
1939,أيام الكنافه والزبيب عالمهلبيه,Egypt
1940,شعور لا يشكى ولا يفهم,United_Arab_Emirates
1941,جزئيات بسيطة حسمت الفوز في المباراتين كورنر لليابان وخطأ دفاعي مع بلنتي من كوره ميته لإيران هذا هو الفرق بينا وبينهم انهم يستغلوا هالجزئيات فالمقابل عشان نهدف لازم نضيع مليون فرصه مع ألف بلنتي ويمكن نحصل غول منهن عمان ايران السعوديه اليابان,Oman
1942,يب سنة أولى كيمياء عندي كلاس وحاليا جالسين ناخذ النهايات بس شسمه والله لسى مو مضبطه وضعي في هالمادة احس مابقدر افيدك بالشكل الكافي,United_Arab_Emirates
1943,و خصوصا لو جيت اعاتب حمار مش شايف نفسه غلطان,Egypt
1944,م عمر قطن نجاحة تعدى الارقام لانه حقق نجاح بالشركة النفط العمانية وشركات أخرى عمل معهم ويركز على بناء قادة يعتمد عليهم,Oman
1945,يارب في هذه الساعه انزل شفائك وفرجك ورزقك لگل من يحتاجه,Algeria
1946,إخماد حريق في دوما أخبار البترون,Lebanon
1947,كل يوم بصحي بيكون ف كوبيله معقل ف دماغي و بيكون ماشي على موود اليوم,Egypt
1948,الحل الثاني هو الدوس على الدستور مرة أخرى اقالة بن صالح و بلعيز و الحكومة و تأسيس مجلس انتقالي والذي مهمته تنظيم الانتخابات بصح من سيقيل الحكومة و بن صالح و بلعيز,Algeria
1949,هل داعش شيعية هذا ما تقصديه بكلامك هذا يسمى غباء كل الذين ينتمون لداعش من اهل السنه كل فتاويهم من كتب السنه كل الداعمين لهم من اهل السنه,Iraq
1950,يلا هي فضيحة فضيحة بقولا من هلأ أحسن ما ينفتح الموضوع مرة و تنصدمو,Tunisia
1951,قال رسول الله صلى الله عليه وسلم الخالة بمنزلة الأم نشر سيرته,Saudi_Arabia
1952,لا تحتكون ف بعض اغار عليكم,United_Arab_Emirates
1953,حبيبي اجمل من يكون معايا في السنه الجديده,Libya
1954,هو يموت الرسم بس لو تطوخيها تطلع احلى موولو اني مافتهم برسم يعني بعد خبرتج,Iraq
1955,يابنت ارحميني لا تفكرين,Saudi_Arabia
1956,كاك نشوف الوضع الصبح اذا العيون متفخه اقوي مرضيه,Kuwait
1957,انا يوم فرحى هخلى البوفيه فول وطعميه عشان اشوف مين جاى عشانى ومين جاى يطفح,Egypt
1958,بالفيديو شهادة حية بالصوت و الصورة من الفتاة التي مات طارق المكي في منزلها بالحمامات,Tunisia
1959,عيد حبهم يوم وعيد حبنا كل يوم ي بعدي,United_Arab_Emirates
1960,يمكن سؤال اخي في لبيبا صراع قوي وهو شبية بالصراع اليمني من حيث أطراف الدعم والوكلاء المحليين والإقليمين من هي الدول الإقليمية التى تغذي هذا الصراع بين الطرفين اعتقد انها هي نفسها في اليمن ليش ماندعوهم يتفقوا خارج الأرض الليبية وبدون هذه الخسائر البشرية والدمار,Yemen
1961,لا انا رددت عليك يا اصحاب بول البعير لا تغشمي نفسك,Iraq
1962,خطاب قديم ويتكلم على الكانيات ايام كانو مليشيات وواضح من البدله اللي لابسها بدلة صيفيه,Libya
1963,دخيلك لاتكبر راسه علينا,Iraq
1964,احس جيي جنك ماسك عللي شيي,United_Arab_Emirates
1965,خذ ٱلدنيٱ ب مزٱج هٱدي ۆمرٺٱح خلگگ مرۆق ۆلحد يھمگ,Oman
1966,حياك الله عيوني صحيح وان كانت الخطوة غير قانونية لكن ليس لدينا حكومة تحاسبهم واخر مرة فرضت عليهم غرامة بمئات ملايين الدولارات تم اسقاطها سعر كارت التعبئة كان ابو العشرة الف ب الشركة غيرت التسعيرة الى غير جودة النت الناس ماعدها حل,Iraq
1967,قال اللهم إني أسألك الهدى والتقى والعفاف والغنى والفوز بالجنة والنجاة من النار ست دعوات تجمع الخير كله,Algeria
1968,إن عقيدة المسلم والفطرة التي فطر الله عباده عليها والأعراف القائمة في المجتمعات كلها تتجه نحو جهة واحدة هي توجيه الرجل الناجح إلى أن يتسم ب صفات هي أن يكون عادلا ومشفقا ومتواضعا منصت,Syria
1969,من يحب بلده ومستقبل ألاجيال القادمة عليه التوجه الى صناديق الاقتراع حب الاردن,Yemen
1970,مانك عادي يااخي,Tunisia
1971,صومالية امزح امزح شماليه,Jordan
1972,وما أهلكنا من قرية إلا لها منذرون ذكرى وما كنا ظالمين سورة الشعراء,Egypt
1973,الجيش السوري يقطع ناريا خط امداد المسلحين الوحيد المسمى بالطريق الحربي الواصل بين ريف محافظة درعا الغربي بريف المحافظة الجنوبي الشرقي بعد السيطرة الكاملة على تل الزميطية الإستراتيجي غرب مدينة درعا والتي مكنته,Iraq
1974,لا شكرا ماريد شبكتكم المنكوحة,Iraq
1975,خريطة تظهر تقدم قوات الجيش الوطني السوري والسيطرة على مركز ناحية جنديرس بريف عفرين بعد دحر ميليشيات الإرهابية ضمن عملية غصن الزيتون,Syria
1976,عندما توجد الاراده للنصر فأن ذلك يصنع المستحيل كما لانغفل ان الحوثيين اهل دار ودائما ما يستقتل ويستأسد صاحب الدار لانه صاحب حق,Iraq
1977,والله تدري وش الي معك دافعني,United_Arab_Emirates
1978,اكيد هيدي نتيجة إدارة العهد من قبل الرئيس الفوقية والنشاذ بالخطابات وإدارة الدولة من قبل العاءلة رح نشوف هيك نتايج,Tunisia
1979,متبقاش غيرنا يا شجره,Egypt
1980,ما هوى قلبي بعد غيرك بشر,United_Arab_Emirates
1981,ابعت يصحبي فور فري لأجل ما تعم الرجوله والناس تبقى سالكة,Egypt
1982,اللهم إنك تعلم ما في القلب كله فقل له كن فيكون ربي اجعل لنا دعوة لا ترد وهب لنا رزقا لا يعد وافتح لنا بابا في الجنة لا يسد,Egypt
1983,سبحان الله و الحمد لله و لا اله الا الله و الله اكبر,Syria
1984,اجازة من الشغل بكرة قولت اروح و انام واصحى بكرة اذاكر روحت و مش جيلي نووم,Egypt
1985,يا صديقى إلتمس لي سبعين عذرا واذكرني في دعائك حين لا تراني بالوجه الذي تعودت عليه ف للنفس آفاق وديان ولعلي في واد غير واديك,Egypt
1986,معكم اكثر وحده تزكم بالحياة المناعة,Morocco
1987,الشهادة باب من ابواب الجنة فتحه الله لخاصة اوليائه الامام علي بن ابي طالب,Iraq
1988,لن نتحرك سنبقى جامدين ستحركنا الحياة والناس وكل شيء لكننا أيضا سنبقى جامدين لا حياة لنا,United_Arab_Emirates
1989,ووافر الاحترام والتقدير لشخصك,Syria
1990,فشل اعلامي ومستوى لا يليق باسم امارة الفجيرة الغالية الاعلام رساله وفن واهداف وإبداع وهم بعيدين كل البعد عن هذا الشيء,United_Arab_Emirates
1991,لا بدنا لسا اغاني مامنشبع من وحدة,Syria
1992,إن ربك يعلم أنك تقوم أدنىٰ من ثلثي الليل ونصفه وثلثه وطائفة من الذين معك,Egypt
1993,بعدك علي بالي يا حلو يا مغرور,Egypt
1994,الله يسلمك ويهنيك ولا يهمك,Libya
1995,نحن في عنا عيلي منعتز بصداقتها وسيدة كفرعقا ولبنان على طول حاميتها,Lebanon
1996,والله حكيو صحيح يسلم ثمك يا شيخ قد نام جميع الرؤساء على كرسيهم,Palestine
1997,مبارك يا غالي عليا,Libya
1998,آمين يا رب,Tunisia
1999,يذكر كلامها معاه,Iraq
2000,انا لو حد قالي متزعليش بتصالح والله و بشيله فوق راسي المهم بس ان زعلي يكون فارق معاه,Egypt
2001,محترفات الدعارة لا ينجبن اللقطاء لأنهن لا يثقن بأحد اللقطاء أبناء لحظة ثقة,Iraq
2002,وعليه قد لا يختلف اثنان أن المؤسسة العسكرية تستهدف تقزيم العمل السياسي وحجزه في إطارات محددة وفق خطة طريق رسمت سلفا,Algeria
2003,على سبيل الفرحة شوفت يمنى جمال وايهاب جمال واتعرفت على محمد شعبان وخطبته واتعرفت على فريده وجودى وسما اطفال سو كيوت,Egypt
2004,عندما تكون عظيم بعين نفسك لن يكسرك اي شيئ,United_Arab_Emirates
2005,كل المسلم على المسلم حرام دمه وماله وعرض,Somalia
2006,رئيس السودان السابق في السجن,Yemen
2007,الشوفان الشوفان والحبوب الكاملة من الأطعمة الرائعة التي تساعد على تحفيز الطاقة الإيجابية في الجسم ذلك لأنه لا يتم هضمها سريعا في المعدة مما يعطيك طاقة تدوم طويلا إلى جانب ذلك,Iraq
2008,الحقود والكاذب دعاؤه غير مستجاب دولة الرئيس سعد الحريري في رعاية وأمان الله دائما,Lebanon
2009,انعل ابوكم لابو شريف البيكم يا ولد الحرام شنو بسبب مواجهات وانقطعت الاسلاك مجرمين من صغيركم الى كبيركم,Iraq
2010,هندسه قسم محاره,Lebanon
2011,كبير في زمن الصغار الله يحميك دولة الرئيس و بالصوت العالي بنقلك معك لعيونك معك لبنان ينتفض,Lebanon
2012,أعجبني فيديو على م,Iraq
2013,نصيحة للسنة الجديدة توقع اي حاجة من اي حد ومتأمنش لحد ولا تتعشم ولا تتعلق بحد,Egypt
2014,الله يكتب لي مع عيونك لقى,Saudi_Arabia
2015,اللى ربنا سانده مبيوقعش,Egypt
2016,ما اعرفه شخصيا صدفة كانت,Jordan
2017,سلاما على من يختارون كلماتهم خشية ان تجرح احدا,Egypt
2018,ان شالله وعقبال النجس الاكبر حسن,Syria
2019,والنعم بالله والسكاي الاماراتية الفاسدة تتهم ابنائنا بالتطرف,Libya
2020,انظر إلى كل شخص أمامك واسأل نفسك سؤالا لو كنت أنا مكان هذا الشخص ماذا كنت أحب أن يعاملني به,Libya
2021,أمن دولة الإمارات العربية المتحدة خط أحمر أمن أهلنا وربعنا في دولة الإمارات خط أحمر أمن من أستأمنا في الإمارات خط أحمر لا نزايد على الأمن,United_Arab_Emirates
2022,جيتر هه نكه كان كو ناكه ن,Iraq
2023,متشوقين لاعمالك يا وحش,Saudi_Arabia
2024,ماشي وراكي بشوارع خيالي,Egypt
2025,وانت طيب يخويا,Egypt
2026,المال الفاسد تمكن من مدينتنا ومن بلدنا فلا حول ولا قوة إلا بالله وإنا لله وإنا إليه راجعون,Libya
2027,في أخر لقا قبل الزعل بعد الخصام قال كلام اسوء علي من ظنه المشكله ماهو على سوء الكلام المشكله شلون يطلع منه,Qatar
2028,تاريخ مواجهات الأسود مع منتخبات مجموعته في كان,Morocco
2029,اللهم إني أستخيرك بعلمك وأستقدرك بقدرتك وأسألك من فضلك العظيم فإنك تقدر ولا أقدر وتعلم ولا أعلم وأنت علام الغيوب,Morocco
2030,ابي شيء يرضيني ما منكم فايدة واسوني عالاقل,Saudi_Arabia
2031,ای وای دکتر رفتید,Yemen
2032,تونس هبوط اضطراري لطائرة أغلب ركابها موريتانيون,Mauritania
2033,طيب وانتي ايه مشكلتك علشان اعرف اختارلك الحضن المناسب,Egypt
2034,ارجوك يا تخلي حفل خاص للكوريين او لا تجيب كوريين نهائيا دام الوضع تحرش خلينا اقل شي نروح مبسوطين ومأمنين نفسنا,Saudi_Arabia
2035,كمية الضيقه الي فيني الحين ماتنوصف,Saudi_Arabia
2036,خلاص يجماعه انا عملت صفقه مع راجل تبعنا و بعون الله نازل شكرا ع الدعم,Egypt
2037,ودائرة مكافحة الفساد وين دورها ولا في تعيينات جديده و كسب للأصوات و شراء ذمم من المعارضين,Jordan
2038,رغم إيقاف الكرة الكويتية لمدة سنتين لكن لا يمكن تجاهل هذا السوء بالأداء لأني لم أرى المنتخب الكويتي بهذا السوء فقد كان فريق مرعب لأغلب الفرق العربية والأسيوية,Iraq
2039,يااخي عرضي بنت عمي وكنت عمي لم نعثر على اثرها على يد المعارضة شو اقلك اكتر من هيك,Iraq
2040,أنا مش داعش بس الجوع داعش و الذل داعش,Syria
2041,عندى شغف كبير أشوف أصحاب زمان تانى وأقعد معاهم نتجمع مع بعض ونروح أى حته جنون زمان محتاج يرجع لينا تانى زمان الهموم كلها كانت بتطير من دماغ الواحد مع أول ضحكة وسطهم دلوقتى الواحد بقى بيبتسم بالعافية ملعونة الحياة والظروف اللى تفرق الصحاب عن بعضها,Egypt
2042,مهو ده اللى راعبنى,Egypt
2043,صلي علي النبي ومررها لعل بابا مغلقا ينفتح لك,Egypt
2044,يا ريت لو كان الموضوع سهل زي ما بتحكي بس كمان كلامك,Jordan
2045,وهذه الوردة مني لكن يا عوجات الركابي,Morocco
2046,ربي اكتبني من الناجحين,Qatar
2047,جدا يا بيبى,Egypt
2048,شوف لك يوم نطلع,Saudi_Arabia
2049,الاخوان يا صديقي في الاردن والكويت وغيرها يتبعون حزب رسمي ولهم مقرات ونشاطات علنية ولهم قيادات مؤثرة في الوسط السياسي شكلك تحسبهم اشباح,Saudi_Arabia
2050,تعلمنا من قصة يوسف قد لا يكون اعداؤك في وطن أخر فقد يكونوا ممن يقاسمونك رغيفك وأنت لا تدري حقيقة,Bahrain
2051,لا مشدتنيش خلاص,Egypt
2052,اللهم اجعل امى وابى من اهل الجنه,Iraq
2053,التغريدات القادمة ستكون بإذن الله في المسائل المجمع عليها في كتاب الحج أو المتفق عليها بين المذاهب الفقهية الأربعة الحج ريتويت درر,Saudi_Arabia
2054,عن لحظة لما تقعد في الشمس في هيك لحظة برد,Palestine
2055,ه اي حاجه ودايره والسلام,Egypt
2056,البطولة ديه لفلامنجو,Egypt
2057,نحن لانطالب الا بالعدل والمساواة بين الانديه في كل شي في دعم وفي عقوبات وفي قرارات لسنا نطالب بمعجزه بل نطالب بحق مشروع لكل الاندية لانريد تفضيل نادي عن اخر,Saudi_Arabia
2058,يغار من غيرهه وهو سيد هالقلب وشعوره,United_Arab_Emirates
2059,يجيب الله بعد كسر الخواطر خير,United_Arab_Emirates
2060,يوم علي التخرج,Egypt
2061,ياليت أوزيل يطلب إنتقال متفائل في نادي تركي ياخذه ويفكنا منه,Saudi_Arabia
2062,شيل الحمول للجمال و فزعة الغانمين للرجال,Jordan
2063,الله يرحمني ويغفرلي كنت انسانه طيبه,Iraq
2064,بعض الوجوه جميلة حتى في عتابها وبعض الوجوه مريبة حتى في إبتسامتها نعم الجمال ينبع من أعماق النفوس,Oman
2065,أكره أحد يسألني ليه منفسه كذا ازيد تنفيس ياخي خلوني انفس طبيعي والله الواحد يمر بهالحركات,Saudi_Arabia
2066,الأسطورة عندما يختم كل شيء رياضي ثقافي اجتماعي سياسي نعم أنه محمد نور,Bahrain
2067,في بعض التخاريف يلي نحنا ما منصدقهم بس بنتمنى لو كانو حقيقة ع قد مانن حلوين,Tunisia
2068,عظم الله اجركم,Palestine
2069,متهيألي مافيش اي مبرر للخيانه اللي بيخون دا ناقص وعينه فارغه ميبملهاش غير التراب وكداب عايز يبقي معاه اللي ف ايده وكمان يجرب غيره اتمنى مافيش واحده تقبل ع نفسها حاجه زي دي يغور ويجي غيره او ميجيش انتي مش قليله ده هو اللي ناقص,Egypt
2070,قومي يلاا بينا نطلع,Egypt
2071,ه ليش لعد تكدي,Iraq
2072,ه مافي غيرو مزبوط,Syria
2073,من میخوام چسب بزنمجلو دهنم تا فش ندم,Yemen
2074,إن الله وملائكته يصلون على النبي يا أيها الذين آمنوا صلوا عليه وسلموا تسليما,Oman
2075,انعقد بمقر المديرية الإقليمية ببركان لقاء تنسيقي برئاسة السيد المدير الإقليمي مع السادة رؤساء المصالح بالمديرية لوضع آخر الترتيبات لإنجاح الدخول المدرسي,Morocco
2076,بعد نص القصة ما فهمت شي,Libya
2077,الكل يزورني أولا في الصومال بعدها سوف ازر العالم من يريدني فل يأتي إلى أولا,Somalia
2078,غذاهای پر کالری بخور تو گوگل سرچ کنی توضیحات بیشتری داده,Yemen
2079,خلاص خلي كل واحد فينا يعيط لوحده,Egypt
2080,نسمح نعم لكن لانثق مرتين,United_Arab_Emirates
2081,كانو ينتظروك تخلصها حسن نية,Algeria
2082,الفولو والباك والتفاعل في ثواني اكتيف ناو,Egypt
2083,زمن أصحاب الكرامات خلص,Egypt
2084,إذا ثبت ضلوع مسؤول حليف أو حتى كتائبي بالفساد في هذا الملف هل حضرتك حضرة الرئيس مع محاسبته حزبيا ووطنيا وقضائيا,Lebanon
